Model,PICP,MPIW,Winkler,PCR,retrained
AGCRN + ECQ,89.59171040322873,57.57289459021947,133.04252159195025,72.19144058081774,no
Graph WaveNet + ECQ,89.28970970855788,65.97344596627373,158.17710380332875,72.73118074130684,no
TDAG-Net + ECQ,89.54030262930786,60.336416994503146,139.65542681494836,72.71923958731372,no
TDAG-Net (Input-Splitter) + ECQ,89.65909986852395,59.813071559631176,135.22791215886772,69.61692777990065,no
CRISP-Net,90.00782037431252,61.4465253062261,80.18846176838738,90.97487581199847,—
