Model,RMSE,MAE,WMAPE,R2,EPE,NDE,Params,Epochs,RMSE_std
Graph WaveNet,34.57556499655354,15.174154309271211,21.714731870773665,0.9312584052107779,17.245551720533705,23.1670586682513,65068,80,
AGCRN,34.21335660622816,14.577595690511089,20.86103615979356,0.9326230210437486,16.49261271415011,22.924364065006568,258050,80,1.0882076695234988
TGALSTM,35.564497989273775,15.634095668275588,22.372923627856107,0.9272698643109599,17.350760331378254,23.829684677793093,210527,80,
TDAG-Net,32.481548337354376,14.168423175396873,20.275496348249224,0.9393309580891044,16.04074402416751,21.76398089350494,253825,80,0.17536098124869218
TDAG-Net (Input-Splitter),31.48298248548518,13.858593063757864,19.832118901136912,0.9430050848348125,15.749039215608924,21.094900469897343,254209,80,0.08735842058288727
CRISP-Net,31.216735835194335,13.714842961422464,19.62640760645855,0.9439654342303585,15.588989627594197,20.916504201662008,257313,80,
CRISP-Net w/o gates,30.999462581091603,13.654221892013624,19.539656790491936,0.9447427379967128,15.501323809531018,20.77092213451888,257313,80,
CRISP-Net w/o PRI,32.476976614239014,14.183006586265643,20.296365706127258,0.9393498027834919,16.15830265707562,21.760917649921236,256929,80,
CRISP-Net (M=5),30.51580085299895,13.463657449327188,19.266952579588335,0.9464535632163238,15.363881210347397,20.4468487713959,1271085,80,
