event,peak,n_windows,PICP,MPIW,Winkler,bin
False,False,469,90.34418409076532,54.4803382041974,69.66154872631219,normal · off-peak
False,True,168,90.32556303498713,104.91239751794373,126.49287064103264,normal · peak
True,False,134,90.28385559115418,58.00965259577657,76.44882789277288,event · off-peak
True,True,48,89.42699243746364,74.37920792073025,101.17341101646645,event · peak
