Model,PICP,MPIW,Winkler,PCR,PICP_uncal,MPIW_uncal,Coverage gap
CALM-Net,90.27673896783844,66.5690559570357,84.27659986172876,91.01308750477645,90.52157847969366,66.60760380629786,0.27673896783844043
Quantile Reg.,90.27673896783844,66.5690559570357,84.27659986172876,91.01308750477645,90.52157847969366,66.60760380629786,0.27673896783844043
MC-Dropout,90.91574026129,65.02023838148406,126.21288046280371,79.28209782193352,19.578424290466177,11.186811669578303,0.9157402612899972
Deep Ensemble,90.83636452746401,64.508297704125,129.99147481249733,74.08530760412685,16.24549582664766,9.515413553770129,0.8363645274640135
