Model,RMSE (entry),MAE (entry),WMAPE (entry),R2 (entry),RMSE (exit),MAE (exit),WMAPE (exit),R2 (exit)
Graph WaveNet,38.483721749797965,15.067771184949589,21.44467632603008,0.9246188636653729,34.90929838628034,16.169115075858155,21.13148812196819,0.9399613125087405
AGCRN,33.935298587585244,13.134091325836957,18.692634355930796,0.9413736722461695,27.443263411213476,13.928029610412166,18.202603599147505,0.962894621335539
TGALSTM,39.24315879452274,15.074896608489876,21.454817334917976,0.9216143681210539,30.944817666983013,15.566117461468744,20.343427868437665,0.952823599142948
TDAG-Net,35.208165515471336,13.609580571075602,19.369357730309886,0.9368982562400051,28.9019302250252,14.607011556293799,19.08996811211651,0.9588457763358044
TDAG-Net (Input-Splitter),33.66745874857645,13.202693836774705,18.7902704710639,0.9423050439761055,28.059414365023798,14.385773587520495,18.80083123064043,0.9612106846244636
CRISP-Net,33.29131191184452,12.973083104280814,18.463485057423398,0.943588146724113,28.299313103275768,14.316535293401861,18.710343397330508,0.9605451190554751
CRISP-Net w/o gates,33.17351205457381,12.9930334268665,18.491878653609493,0.9439866621815335,27.90403334202231,14.32905693845743,18.72670799072463,0.9616396188953441
CRISP-Net w/o PRI,35.46967659981629,13.6772730490727,19.46569867301047,0.9359641755078213,28.968716396288524,14.594526238848182,19.07365099543676,0.9586564797087374
CRISP-Net (M=5),32.7861079271398,12.797537793830633,18.213646357528834,0.945287283704168,27.121719132192634,14.026999179420764,18.33194736732095,0.9637604015257875
