Model,RMSE,MAE,WMAPE,R2,EPE,NDE,Params,Epochs,RMSE_std
Graph WaveNet,37.33537656214512,15.74538279358463,21.1651164032712,0.9327187830032263,17.23695976022459,23.04288411839935,65068,80,
AGCRN,29.829875281331443,13.232050404585555,17.786667414723826,0.9570494792500829,13.957717671307933,18.41059131223432,258050,80,0.1618945835978982
TGALSTM,35.27355464753643,15.230910282608944,20.47355680616059,0.9399447165282704,16.44470044995939,21.770355813454497,210527,80,
TDAG-Net,32.13224037830194,14.091116888909793,18.94143401374737,0.9501623597736134,15.004586590148568,19.831579581615525,253825,80,0.23225665753089092
TDAG-Net (Input-Splitter),30.848383950099464,13.775845325973242,18.5176425178104,0.9540667484835849,14.45355555159938,19.039200941735217,254209,80,0.14494184259546591
CRISP-Net,30.804133249502396,13.624799552389574,18.314605130785235,0.954199443675484,14.465404324231793,19.011890014140338,257313,80,
CRISP-Net w/o gates,30.552280821829267,13.662994694275776,18.36594745981329,0.9549453063561841,14.381091804422159,18.856450138071338,257313,80,
CRISP-Net w/o PRI,32.35577266853413,14.122440517587528,18.983539579285424,0.9494691833193585,15.198950585991609,19.969540655932462,256929,80,
CRISP-Net (M=5),29.96401685886979,13.397585925853836,18.009182079654483,0.9566635999122542,14.019868254496552,18.493381660458887,1271085,80,
