Model,entry_RMSE,exit_RMSE,entry_WMAPE,exit_WMAPE,entry_R2,exit_R2
Graph WaveNet,38.483721749797965,34.90929838628034,21.44467632603008,21.13148812196819,0.9246188636653729,0.9399613125087405
AGCRN,33.935298587585244,27.443263411213476,18.692634355930796,18.202603599147505,0.9413736722461695,0.962894621335539
TGALSTM,39.24315879452274,30.944817666983013,21.454817334917976,20.343427868437665,0.9216143681210539,0.952823599142948
TDAG-Net,35.208165515471336,28.9019302250252,19.369357730309886,19.08996811211651,0.9368982562400051,0.9588457763358044
TDAG-Net (Input-Splitter),33.66745874857645,28.059414365023798,18.7902704710639,18.80083123064043,0.9423050439761055,0.9612106846244636
CRISP-Net,33.29131191184452,28.299313103275768,18.463485057423398,18.710343397330508,0.943588146724113,0.9605451190554751
CRISP-Net (M=5),32.7861079271398,27.121719132192634,18.213646357528834,18.33194736732095,0.945287283704168,0.9637604015257875
