Model,RMSE,MAE,WMAPE,R2,EPE,NDE,Params,Epochs,RMSE_std
Graph WaveNet,36.74000512750527,15.618443130403874,21.28141089206514,0.9324481962106118,17.245551720533705,23.067165127039118,65068,80,
AGCRN,30.861000326539976,13.53106046812456,18.437180660278255,0.952332878099921,16.49261271415011,19.376039498289632,258050,80,0.2976847873351681
TGALSTM,35.33841573001648,15.320507034979308,20.875448504305446,0.9375039345845263,17.350760331378254,22.187179020342114,210527,80,
TDAG-Net,32.2102642221078,14.1082960636847,19.223711544827665,0.9480763076697274,16.04074402416751,20.223173105674853,253825,80,0.21004777152440926
TDAG-Net (Input-Splitter),30.990576410612675,13.7942337121476,18.7957758093011,0.9519354748402975,15.749039215608924,19.45739367658784,254209,80,0.12283787203046896
CRISP-Net,30.896298895894923,13.644809198841331,18.59217264357793,0.9522282181089003,15.588989627594197,19.39820165981446,257313,80,
CRISP-Net (M=5),30.08751004732365,13.412268486625699,18.27531683378465,0.9546965765505293,15.363881210347397,18.890404617920904,1271085,80,
