variant,RMSE,MAE,WMAPE,R2,EPE,NDE,dRMSE,dWMAPE,dEPE
CRISP-Net,30.896298895894923,13.644809198841331,18.59217264357793,0.9522282181089003,15.588989627594197,19.39820165981446,0.0,0.0,0.0
CRISP-Net w/o gates,30.65221834376467,13.661045182661967,18.6142955043547,0.9529800301842153,15.501323809531018,19.244955998014802,-0.7899993230667606,0.11899018582109441,-0.5623572800895404
CRISP-Net w/o PRI,32.38274608293861,14.135899643960432,19.261323688946973,0.9475209609502508,16.15830265707562,20.331465620915274,4.811084952447771,3.599100859254239,3.6520200672510374
