epoch,train_loss,val_loss,lr,grad_norm_max,secs,improved,patience,timestamp
0,0.18693486628951608,0.12600309843872928,0.0003,0.24410897493362427,7.3,True,0,2026-08-16T07:25:56
1,0.12984150035695716,0.11116987990809012,0.0003,0.2681649923324585,2.5,True,0,2026-08-16T07:25:58
2,0.1205808794269195,0.10539883596229029,0.0003,0.24005281925201416,2.4,True,0,2026-08-16T07:26:01
3,0.11716778505961974,0.10527243964619688,0.0003,0.18619577586650848,2.4,True,0,2026-08-16T07:26:03
4,0.11521399735094427,0.10242092343313354,0.0003,0.2099023014307022,2.5,True,0,2026-08-16T07:26:06
5,0.11397867946179359,0.10072054840869955,0.0003,0.21858294308185577,2.5,True,0,2026-08-16T07:26:08
6,0.11287276762854923,0.10004755048142684,0.0003,0.20425307750701904,2.6,True,0,2026-08-16T07:26:11
7,0.11207555180395043,0.09897451491637545,0.0003,0.23698998987674713,2.5,True,0,2026-08-16T07:26:13
8,0.11111536579472678,0.09860939209114064,0.0003,0.16145694255828857,2.5,True,0,2026-08-16T07:26:16
9,0.11041269207393731,0.09717304026196291,0.0003,0.1766485869884491,2.5,True,0,2026-08-16T07:26:19
10,0.11001058371512444,0.09667722672060296,0.0003,0.26873108744621277,2.5,True,0,2026-08-16T07:26:21
11,0.10954469434180103,0.09612579827944001,0.0003,0.21642321348190308,2.6,True,0,2026-08-16T07:26:24
12,0.10900900756919776,0.0964325786783145,0.0003,0.22712697088718414,2.6,False,1,2026-08-16T07:26:27
13,0.10866698824114852,0.0958845548249863,0.0003,0.24705886840820312,2.5,True,0,2026-08-16T07:26:29
14,0.10814974311288897,0.0956954680956327,0.0003,0.16635088622570038,2.5,True,0,2026-08-16T07:26:32
15,0.10777046950636329,0.09480396641807241,0.0003,0.2107393890619278,2.6,True,0,2026-08-16T07:26:34
16,0.10759236914115948,0.09521984022397262,0.0003,0.1746915578842163,2.6,False,1,2026-08-16T07:26:37
17,0.10732832318478888,0.09366705461026548,0.0003,0.2273339480161667,3.9,True,0,2026-08-16T07:26:41
