direction,persona,gate,share_of_direction
Entry,Commuter,1.1079587936401367,0.26373571157455444
Entry,Casual,1.0585803985595703,0.25198179483413696
Entry,Tourist/Visitor,1.0050164461135864,0.23923157155513763
Entry,Concession/Student,1.0294636487960815,0.24505092203617096
Exit,Commuter,1.0908308029174805,0.2613907754421234
Exit,Casual,1.0598560571670532,0.2539684474468231
Exit,Tourist/Visitor,0.9917229413986206,0.23764201998710632
Exit,Concession/Student,1.0307704210281372,0.24699878692626953
