epoch,train_loss,val_loss,lr,grad_norm_max,secs,improved,patience,timestamp
0,0.20579495570816836,0.13399892058837545,0.0003,0.2658142149448395,5.4,True,0,2026-08-16T19:21:22
1,0.13025995823708209,0.10384506949192875,0.0003,0.24277442693710327,5.4,True,0,2026-08-16T19:21:28
2,0.11735170791437338,0.09887674426311975,0.0003,0.30723297595977783,5.5,True,0,2026-08-16T19:21:33
3,0.11320287654033075,0.0937568432354665,0.0003,0.21553319692611694,5.7,True,0,2026-08-16T19:21:39
4,0.10989722596420036,0.09009332520948661,0.0003,0.18004846572875977,5.9,True,0,2026-08-16T19:21:45
5,0.1073344417489492,0.08798975100392824,0.0003,0.22357845306396484,6.0,True,0,2026-08-16T19:21:51
6,0.10667966167022894,0.08879112931234497,0.0003,0.22068583965301514,5.8,False,1,2026-08-16T19:21:57
7,0.10483615300157569,0.0857199588074134,0.0003,0.3194091022014618,5.6,True,0,2026-08-16T19:22:03
8,0.10325265146873809,0.08409880158992913,0.0003,0.18185241520404816,5.5,True,0,2026-08-16T19:22:08
9,0.10233082188354743,0.08404027953088938,0.0003,0.21428389847278595,5.4,True,0,2026-08-16T19:22:14
10,0.10151093128945801,0.08305804832623555,0.0003,0.2146894931793213,5.4,True,0,2026-08-16T19:22:19
11,0.10101432232083855,0.08255944773554802,0.0003,0.2647635042667389,5.3,True,0,2026-08-16T19:22:25
12,0.10001810422310463,0.08299644995521713,0.0003,0.23265770077705383,5.3,False,1,2026-08-16T19:22:30
13,0.09997112146773181,0.08147030851834423,0.0003,0.26608768105506897,5.3,True,0,2026-08-16T19:22:35
14,0.09890609472007542,0.08075143143043413,0.0003,0.1960279494524002,5.4,True,0,2026-08-16T19:22:41
15,0.09892552684951615,0.08056916063139727,0.0003,0.21995514631271362,5.4,True,0,2026-08-16T19:22:46
16,0.09812980210715598,0.08098601185522236,0.0003,0.2225012630224228,5.3,False,1,2026-08-16T19:22:52
17,0.09765794817562942,0.07949264519489728,0.0003,0.2153928577899933,5.4,True,0,2026-08-16T19:22:57
18,0.09766673593075721,0.07915685997231976,0.0003,0.2102775275707245,5.5,True,0,2026-08-16T19:23:03
19,0.09698380384143893,0.07886725078736033,0.0003,0.2538810968399048,5.5,True,0,2026-08-16T19:23:08
20,0.0965389025571582,0.07915741495869971,0.0003,0.2523195147514343,5.5,False,1,2026-08-16T19:23:14
21,0.09613637121824117,0.07803726130789453,0.0003,0.1677350401878357,5.5,True,0,2026-08-16T19:23:19
22,0.09602933737275364,0.07826266057052456,0.0003,0.23254545032978058,5.5,False,1,2026-08-16T19:23:25
23,0.09559819596809345,0.07746483930028401,0.0003,0.25379419326782227,5.5,True,0,2026-08-16T19:23:31
24,0.09514832758641505,0.07842667998520883,0.0003,0.16251005232334137,5.4,False,1,2026-08-16T19:23:36
25,0.09509590990268267,0.07712594714466033,0.0003,0.20395854115486145,5.5,True,0,2026-08-16T19:23:42
26,0.09464510472921225,0.07690294246588435,0.0003,0.18629062175750732,5.4,True,0,2026-08-16T19:23:47
27,0.09428712588090163,0.07662943066967713,0.0003,0.2534579634666443,5.4,True,0,2026-08-16T19:23:53
28,0.0945451062459212,0.07770398488411537,0.0003,0.30085617303848267,5.4,False,1,2026-08-16T19:23:58
29,0.09398859677078959,0.07698560154045021,0.0003,0.3630639612674713,5.3,False,2,2026-08-16T19:24:03
30,0.09407815518942508,0.07698376190203887,0.0003,0.22729994356632233,5.4,False,3,2026-08-16T19:24:09
31,0.09419097156970055,0.07713287733085863,0.0003,0.3473336398601532,5.4,False,4,2026-08-16T19:24:14
32,0.09333612316257352,0.0768989157136325,0.0003,0.23230740427970886,5.4,False,5,2026-08-16T19:24:20
33,0.093394240294839,0.07589559604997163,0.0003,0.3201959431171417,5.5,True,0,2026-08-16T19:24:25
34,0.09315092146069139,0.07499126385856461,0.0003,0.22602058947086334,5.4,True,0,2026-08-16T19:24:31
35,0.09285350838205317,0.07637728955392,0.0003,0.272779643535614,5.4,False,1,2026-08-16T19:24:36
36,0.09269451422023249,0.07514071853442507,0.0003,0.2260589450597763,5.4,False,2,2026-08-16T19:24:42
37,0.0924545814702799,0.07558551291515539,0.0003,0.21683254837989807,5.4,False,3,2026-08-16T19:24:47
38,0.09232354437584406,0.07525382993312982,0.0003,0.29745328426361084,5.5,False,4,2026-08-16T19:24:53
39,0.09241024466988805,0.07465888592568072,0.0003,0.3240649998188019,5.5,True,0,2026-08-16T19:24:58
40,0.09199430520062918,0.07407795691064425,0.0003,0.2217506617307663,5.5,True,0,2026-08-16T19:25:04
