epoch,train_loss,val_loss,lr,grad_norm_max,secs,improved,patience,timestamp
0,0.20579674414225987,0.13405744796925848,0.0003,0.2667531967163086,5.6,True,0,2026-08-16T08:31:06
1,0.13026801508206587,0.10386652728685966,0.0003,0.2428763508796692,5.6,True,0,2026-08-16T08:31:11
2,0.11735327885701106,0.09886962740303396,0.0003,0.3070220351219177,5.6,True,0,2026-08-16T08:31:17
3,0.11319375694780559,0.09376882851778806,0.0003,0.2147805243730545,5.6,True,0,2026-08-16T08:31:23
4,0.1099016010761261,0.0901165865771063,0.0003,0.18070338666439056,5.6,True,0,2026-08-16T08:31:28
5,0.10735108421726541,0.08801169652532745,0.0003,0.22214330732822418,5.6,True,0,2026-08-16T08:31:34
6,0.10669379167176865,0.08884292587146654,0.0003,0.2176830768585205,5.6,False,1,2026-08-16T08:31:40
7,0.10484978609032683,0.08577373632035412,0.0003,0.316782683134079,5.6,True,0,2026-08-16T08:31:45
8,0.10327204962025632,0.0841564477963762,0.0003,0.1815190464258194,5.6,True,0,2026-08-16T08:31:51
9,0.10234233268669674,0.08407902390092284,0.0003,0.21213378012180328,5.6,True,0,2026-08-16T08:31:57
10,0.10152571774446047,0.08308035483235841,0.0003,0.21695564687252045,5.6,True,0,2026-08-16T08:32:03
11,0.10103396887962635,0.08255230320187715,0.0003,0.2667387127876282,5.6,True,0,2026-08-16T08:32:08
12,0.10003490760758683,0.08302261144086555,0.0003,0.23322366178035736,5.6,False,1,2026-08-16T08:32:14
13,0.0999751661832516,0.0814840005158068,0.0003,0.26292723417282104,5.6,True,0,2026-08-16T08:32:20
14,0.0989193163402788,0.08074825162907223,0.0003,0.19674716889858246,5.6,True,0,2026-08-16T08:32:25
15,0.09894146493503025,0.08058105331364569,0.0003,0.21970444917678833,5.6,True,0,2026-08-16T08:32:31
16,0.09815323030228143,0.08097070791236646,0.0003,0.22311992943286896,5.6,False,1,2026-08-16T08:32:37
17,0.09768156821911152,0.0795275931256813,0.0003,0.2099224478006363,5.6,True,0,2026-08-16T08:32:42
18,0.09770470706971138,0.0791762103991849,0.0003,0.21486695110797882,5.6,True,0,2026-08-16T08:32:48
19,0.09700739662070851,0.0789198809518264,0.0003,0.2555254399776459,5.6,True,0,2026-08-16T08:32:54
20,0.0965488185758119,0.07920602242370228,0.0003,0.2483852356672287,5.6,False,1,2026-08-16T08:32:59
21,0.09615310518951206,0.07803359304319371,0.0003,0.16900154948234558,5.6,True,0,2026-08-16T08:33:05
22,0.09606488288103879,0.07833158613725023,0.0003,0.23278962075710297,5.6,False,1,2026-08-16T08:33:11
23,0.09562932509969879,0.07746814866806125,0.0003,0.2349676936864853,5.6,True,0,2026-08-16T08:33:16
24,0.09516262705181981,0.07845278681962045,0.0003,0.1590493768453598,5.6,False,1,2026-08-16T08:33:22
25,0.09512484599273284,0.07718436469088544,0.0003,0.19787463545799255,5.6,True,0,2026-08-16T08:33:28
26,0.09469272854563954,0.07691900702295723,0.0003,0.19174160063266754,5.6,True,0,2026-08-16T08:33:33
27,0.09429592201997945,0.07665969500993634,0.0003,0.24708622694015503,5.6,True,0,2026-08-16T08:33:39
28,0.09456577129088915,0.07772758762751307,0.0003,0.3014795184135437,5.6,False,1,2026-08-16T08:33:45
29,0.09402197176938529,0.07708074029657867,0.0003,0.3668837547302246,5.6,False,2,2026-08-16T08:33:50
30,0.0941055498280368,0.07694024117765846,0.0003,0.22049878537654877,5.5,False,3,2026-08-16T08:33:56
31,0.09420292937493586,0.07720115580237828,0.0003,0.33695846796035767,5.6,False,4,2026-08-16T08:34:01
32,0.09336726676959257,0.07690646315177718,0.0003,0.23049363493919373,5.5,False,5,2026-08-16T08:34:07
33,0.09342200516999423,0.07592245522927452,0.0003,0.31498679518699646,5.6,True,0,2026-08-16T08:34:13
34,0.09317740008726225,0.07500174138080942,0.0003,0.22551162540912628,5.6,True,0,2026-08-16T08:34:18
35,0.09288842525783476,0.07641583341327342,0.0003,0.2757863700389862,5.5,False,1,2026-08-16T08:34:24
36,0.09271544263913081,0.07520171136155233,0.0003,0.22349640727043152,5.6,False,2,2026-08-16T08:34:30
37,0.0924727037876517,0.07563801117978253,0.0003,0.21915222704410553,5.5,False,3,2026-08-16T08:34:35
38,0.09235515324296532,0.07530024434838976,0.0003,0.29878711700439453,5.6,False,4,2026-08-16T08:34:41
39,0.09243859643792059,0.07467336555594926,0.0003,0.3247280418872833,5.6,True,0,2026-08-16T08:34:47
40,0.09202008809034641,0.07411291454355795,0.0003,0.21604260802268982,5.6,True,0,2026-08-16T08:34:52
41,0.09199038834034741,0.07493697700428438,0.0003,0.30891987681388855,5.5,False,1,2026-08-16T08:34:58
42,0.09182124339289717,0.07482413820676752,0.0003,0.25361037254333496,5.6,False,2,2026-08-16T08:35:03
43,0.09180039349165592,0.07452487863682128,0.0003,0.22509607672691345,5.5,False,3,2026-08-16T08:35:09
44,0.09252000934147572,0.0741260999424772,0.0003,0.6564514636993408,5.6,False,4,2026-08-16T08:35:15
45,0.09143496450487074,0.07416355061334567,0.0003,0.23562787473201752,5.5,False,5,2026-08-16T08:35:20
46,0.09131661861479938,0.07384079424562034,0.0003,0.18406467139720917,5.6,True,0,2026-08-16T08:35:26
47,0.09094977732543107,0.07402311637997627,0.0003,0.17121052742004395,5.6,False,1,2026-08-16T08:35:32
48,0.09118840434066541,0.07433900761080313,0.0003,0.2954554557800293,5.6,False,2,2026-08-16T08:35:37
49,0.09128601279232529,0.07441179126828582,0.0003,0.25733327865600586,5.6,False,3,2026-08-16T08:35:43
50,0.09147121135022614,0.07329494264590872,0.0003,0.36219388246536255,5.6,True,0,2026-08-16T08:35:49
51,0.09102263674958722,0.07456961159522717,0.0003,0.31927332282066345,5.6,False,1,2026-08-16T08:35:54
52,0.09078540970663448,0.07372343691659498,0.0003,0.2732102572917938,5.6,False,2,2026-08-16T08:36:00
53,0.09068016472098592,0.0750667226429169,0.0003,0.2710639238357544,5.6,False,3,2026-08-16T08:36:06
54,0.09085520733516295,0.0736787807564814,0.0003,0.28598812222480774,5.6,False,4,2026-08-16T08:36:12
55,0.09046791606879497,0.07405386246986441,0.0003,0.22279277443885803,5.6,False,5,2026-08-16T08:36:17
56,0.09038718200319416,0.07382326524008762,0.0003,0.2024640142917633,5.7,False,6,2026-08-16T08:36:23
57,0.09028475831498156,0.0728109184202257,0.0003,0.2200557142496109,5.6,True,0,2026-08-16T08:36:29
58,0.09039660197692913,0.07332576119474002,0.0003,0.3137689232826233,5.6,False,1,2026-08-16T08:36:34
59,0.0901477194913141,0.07274006384905878,0.0003,0.2759629786014557,5.7,True,0,2026-08-16T08:36:40
60,0.09028116960774411,0.07279627221626239,0.0003,0.256334125995636,5.6,False,1,2026-08-16T08:36:46
61,0.09010017253867872,0.07264369161246897,0.0003,0.3053959906101227,5.7,True,0,2026-08-16T08:36:52
62,0.0899476375062387,0.07310574956156396,0.0003,0.2361912727355957,5.6,False,1,2026-08-16T08:36:57
63,0.09024124507393155,0.07433879895360915,0.0003,0.47169676423072815,5.6,False,2,2026-08-16T08:37:03
64,0.08983997306325933,0.07289285114505789,0.0003,0.34049907326698303,5.6,False,3,2026-08-16T08:37:09
65,0.0896793340261166,0.07292263398131171,0.0003,0.24774466454982758,5.6,False,4,2026-08-16T08:37:14
66,0.08981072847004776,0.07317284809855315,0.0003,0.27986323833465576,5.6,False,5,2026-08-16T08:37:20
67,0.08991842494233623,0.07236228375644474,0.0003,0.3692809045314789,5.6,True,0,2026-08-16T08:37:26
68,0.08961306931553306,0.0734935969032429,0.0003,0.35284295678138733,5.6,False,1,2026-08-16T08:37:31
69,0.08982382061389776,0.07228797620960645,0.0003,0.2622937858104706,5.6,True,0,2026-08-16T08:37:37
70,0.08926443008931129,0.0721011985871163,0.0003,0.23586653172969818,5.6,True,0,2026-08-16T08:37:43
71,0.08930253425797263,0.07327772382196489,0.0003,0.21955493092536926,5.6,False,1,2026-08-16T08:37:48
72,0.0893469098505083,0.0722703514108946,0.0003,0.3850243091583252,5.6,False,2,2026-08-16T08:37:54
73,0.0892303949365249,0.07256676760184896,0.0003,0.2890726923942566,5.6,False,3,2026-08-16T08:38:00
74,0.08917732744754016,0.07197866330926235,0.0003,0.23551352322101593,5.6,True,0,2026-08-16T08:38:05
75,0.08916792917055089,0.0728225436593805,0.0003,0.33848056197166443,5.6,False,1,2026-08-16T08:38:11
76,0.08945867478192508,0.07248544684805713,0.0003,0.3360910713672638,5.6,False,2,2026-08-16T08:38:17
77,0.08907742655866749,0.0724604908827242,0.0003,0.2701649069786072,5.6,False,3,2026-08-16T08:38:22
78,0.08879807180428242,0.07417341866172276,0.0003,0.30330827832221985,5.6,False,4,2026-08-16T08:38:28
79,0.08917321932839824,0.07468692463014152,0.0003,0.2757072150707245,5.6,False,5,2026-08-16T08:38:34
