epoch,train_loss,val_loss,lr,grad_norm_max,secs,improved,patience,timestamp
0,0.2166967380505342,0.13607921246643906,0.0003,0.2791549563407898,4.4,True,0,2026-08-16T19:29:34
1,0.13333636800666432,0.10644298755041845,0.0003,0.2445090264081955,4.4,True,0,2026-08-16T19:29:38
2,0.11966670787596441,0.09974212887195441,0.0003,0.22818268835544586,4.4,True,0,2026-08-16T19:29:43
3,0.11445344722532964,0.0975090605872018,0.0003,0.21365691721439362,4.4,True,0,2026-08-16T19:29:47
4,0.11194718268873928,0.09317553923516483,0.0003,0.24049678444862366,4.3,True,0,2026-08-16T19:29:52
5,0.10943311657551881,0.09236838918302086,0.0003,0.2553010880947113,4.4,True,0,2026-08-16T19:29:56
6,0.10799868609551545,0.08981443061442165,0.0003,0.335286408662796,4.4,True,0,2026-08-16T19:30:01
7,0.10610314065610969,0.08806870275965104,0.0003,0.19601650536060333,4.4,True,0,2026-08-16T19:30:05
8,0.10510844991102324,0.08779898339084216,0.0003,0.2993941009044647,4.4,True,0,2026-08-16T19:30:09
9,0.10394206061795518,0.08480145262329133,0.0003,0.1628522276878357,4.4,True,0,2026-08-16T19:30:14
10,0.10289053438784002,0.08795730933383271,0.0003,0.22888946533203125,4.4,False,1,2026-08-16T19:30:18
11,0.10225812804240447,0.08512292130962833,0.0003,0.35723060369491577,4.4,False,2,2026-08-16T19:30:23
12,0.10158184956718277,0.0843954922242479,0.0003,0.21147575974464417,4.4,True,0,2026-08-16T19:30:27
13,0.10066958729709898,0.0824174810569365,0.0003,0.18443526327610016,4.4,True,0,2026-08-16T19:30:32
14,0.10042778206068081,0.0827265698667411,0.0003,0.20429429411888123,4.4,False,1,2026-08-16T19:30:36
15,0.09989141509100631,0.08139319218449541,0.0003,0.24178676307201385,4.5,True,0,2026-08-16T19:30:41
16,0.09956463794786852,0.08233122138695402,0.0003,0.21767905354499817,4.4,False,1,2026-08-16T19:30:45
17,0.09867980110121298,0.08058670216373034,0.0003,0.13818523287773132,4.4,True,0,2026-08-16T19:30:50
18,0.09877024533656928,0.08176100471026294,0.0003,0.24482642114162445,4.4,False,1,2026-08-16T19:30:54
19,0.09792323680696907,0.08149036715973865,0.0003,0.1752299964427948,4.4,False,2,2026-08-16T19:30:59
20,0.09784050899875033,0.07966952865104099,0.0003,0.16962920129299164,4.4,True,0,2026-08-16T19:31:03
21,0.09738998639059591,0.0793935623388369,0.0003,0.17665275931358337,4.4,True,0,2026-08-16T19:31:08
22,0.09688693972734305,0.07911987123744828,0.0003,0.17642198503017426,4.4,True,0,2026-08-16T19:31:12
