event,peak,bin,n_scores,q_hat,method
False,False,normal · off-peak,307128,-0.038590431213378906,Mondrian bin
False,True,normal · peak,110016,-0.19595718383789062,Mondrian bin
True,False,event · off-peak,307128,0.2677650451660156,Mondrian bin
True,True,event · peak,110016,0.44750046730041504,Mondrian bin
