event,peak,bin,n_scores,q_hat,method
False,False,normal · off-peak,307128,-0.13548262417316437,Mondrian bin
False,True,normal · peak,110016,-0.3559064269065857,Mondrian bin
True,False,event · off-peak,307128,-0.04399919509887695,Mondrian bin
True,True,event · peak,110016,0.11925697326660156,Mondrian bin
