event,peak,bin,n_scores,q_hat,method
False,False,normal · off-peak,307128,-0.08678627014160156,Mondrian bin
False,True,normal · peak,110016,-0.19378744065761566,Mondrian bin
True,False,event · off-peak,307128,-0.053741455078125,Mondrian bin
True,True,event · peak,110016,0.4542388916015625,Mondrian bin
