event,peak,bin,n_scores,q_hat,method
False,False,normal · off-peak,307128,-0.1240103542804718,Mondrian bin
False,True,normal · peak,110016,-0.13426318764686584,Mondrian bin
True,False,event · off-peak,307128,0.27031755447387695,Mondrian bin
True,True,event · peak,110016,0.5981078147888184,Mondrian bin
