model,PICP,MPIW,Winkler,PCR,n_peak_cells,target_PICP,coverage_gap
AGCRN,89.59171040322873,57.57289459021947,133.04252159195025,72.19144058081774,41872,90.0,-0.40828959677126875
TDAG-Net (Input-Splitter),89.65909986852395,59.813071559631176,135.22791215886772,69.61692777990065,41872,90.0,-0.34090013147604736
TDAG-Net,89.54030262930786,60.336416994503146,139.65542681494836,72.71923958731372,41872,90.0,-0.45969737069214034
CRISP-Net,90.00782037431252,61.4465253062261,80.18846176838738,90.97487581199847,41872,90.0,0.00782037431251581
Graph WaveNet,89.28970970855788,65.97344596627373,158.17710380332875,72.73118074130684,41872,90.0,-0.7102902914421207
