Model,PCR,PICP,MPIW,Winkler
CRISP-Net,90.97487581199847,90.00782037431252,61.4465253062261,80.18846176838738
CRISP-Net w/o gates,90.89845242644249,90.07856599479636,62.871218303750794,80.05578368924458
CRISP-Net w/o PRI,91.45491020252197,89.94389360881507,65.54087756007604,82.9769545646739
MC-Dropout,72.04814673290026,90.97471270246139,58.198770311723806,110.92463656956978
Deep Ensemble,70.40982040504394,90.33203561999373,54.54762148705763,109.74867068390668
