Model,PICP,MPIW,Winkler,PCR,PICP_uncal,MPIW_uncal,Coverage gap
CRISP-Net w/o gates,90.07856599479636,62.871218303750794,80.05578368924458,90.89845242644249,90.59988876742804,63.04958349393786,0.07856599479636373
CRISP-Net,90.00782037431252,61.4465253062261,80.18846176838738,90.97487581199847,89.71104036549062,61.27181706966684,0.00782037431251581
CRISP-Net w/o PRI,89.94389360881507,65.54087756007604,82.9769545646739,91.45491020252197,90.39681474236448,65.686224687187,-0.056106391184926
Deep Ensemble,90.33203561999373,54.54762148705763,109.74867068390668,70.40982040504394,19.2356702827907,10.0898553931526,0.3320356199937322
MC-Dropout,90.97471270246139,58.198770311723806,110.92463656956978,72.04814673290026,23.785551272462264,12.349935716177454,0.9747127024613889
