t,observed_entry,lo_entry,hi_entry
2023-05-27 08:00:00,159.0,124.05054950714111,371.3096799850464
2023-05-27 08:10:00,171.0,125.25141620635986,366.36674785614014
2023-05-27 08:20:00,185.0,121.16999530792236,360.00834941864014
2023-05-27 08:30:00,184.0,123.37659931182861,351.41569805145264
2023-05-27 08:40:00,183.0,119.03492450714111,345.21562480926514
2023-05-27 08:50:00,228.0,95.13416767120361,320.22160625457764
2023-05-27 09:00:00,238.0,110.73243427276611,355.45646953582764
2023-05-27 09:10:00,272.0,143.0540895462036,387.8704710006714
2023-05-27 09:20:00,337.0,180.85590839385986,426.2825803756714
2023-05-27 09:30:00,278.0,224.15378284454346,487.9384412765503
2023-05-27 09:40:00,289.0,219.46689319610596,497.45376110076904
2023-05-27 09:50:00,289.0,229.2856798171997,505.7432813644409
2023-05-27 10:00:00,298.0,231.4653673171997,527.8319959640503
2023-05-27 10:10:00,315.0,252.16086292266846,551.2519178390503
2023-05-27 10:20:00,376.0,258.08835315704346,563.6408338546753
2023-05-27 10:30:00,338.0,275.95932483673096,600.866114616394
2023-05-27 10:40:00,371.0,275.3358507156372,619.9649305343628
2023-05-27 10:50:00,413.0,294.15793323516846,651.9714612960815
2023-05-27 11:00:00,399.0,323.9752550125122,674.269679069519
2023-05-27 11:10:00,422.0,325.7457628250122,660.2802991867065
2023-05-27 11:20:00,530.0,344.36826038360596,708.6053113937378
2023-05-27 11:30:00,450.0,422.9668321609497,801.7936658859253
2023-05-27 11:40:00,521.0,430.3848009109497,804.3952283859253
2023-05-27 11:50:00,578.0,476.5192918777466,855.975001335144
2023-05-27 12:00:00,645.0,522.8374376296997,921.8877820968628
2023-05-27 12:10:00,700.0,578.0535020828247,1007.569239616394
2023-05-27 12:20:00,747.0,649.9084825515747,1105.5463514328003
2023-05-27 12:30:00,886.0,701.2888536453247,1189.2388563156128
2023-05-27 12:40:00,997.0,792.3006944656372,1334.5126600265503
2023-05-27 12:50:00,994.0,874.9250841140747,1453.6498670578003
2023-05-27 13:00:00,1019.0,890.9415636062622,1478.5481824874878
2023-05-27 13:10:00,1156.0,909.6706285476685,1487.9810438156128
2023-05-27 13:20:00,1112.0,958.2033433914185,1572.5591688156128
2023-05-27 13:30:00,1148.0,957.0332384109497,1589.6702527999878
2023-05-27 13:40:00,1149.0,967.9142198562622,1593.4270887374878
2023-05-27 13:50:00,1201.0,980.0184679031372,1584.1769666671753
2023-05-27 14:00:00,1277.0,1050.2737169265747,1568.7818250656128
2023-05-27 14:10:00,1365.0,1063.9034776687622,1585.8732557296753
2023-05-27 14:20:00,1331.0,1096.3962755203247,1641.0606336593628
2023-05-27 14:30:00,1196.0,1104.0981798171997,1654.0862684249878
2023-05-27 14:40:00,1255.0,1076.1421251296997,1622.6967420578003
2023-05-27 14:50:00,1228.0,1064.7416124343872,1627.0657606124878
2023-05-27 15:00:00,1340.0,1065.8380479812622,1628.3177137374878
2023-05-27 15:10:00,1418.0,1091.6075792312622,1680.3225965499878
2023-05-27 15:20:00,1451.0,1118.1212511062622,1759.1569471359253
2023-05-27 15:30:00,1375.0,1139.0488634109497,1826.9666395187378
2023-05-27 15:40:00,1346.0,1133.9606065750122,1819.7293348312378
2023-05-27 15:50:00,1364.0,1109.1380968093872,1815.2015027999878
2023-05-27 16:00:00,1435.0,1097.3729600906372,1779.7691297531128
2023-05-27 16:10:00,1387.0,1107.7113389968872,1817.0303602218628
2023-05-27 16:20:00,1495.0,1098.6770372390747,1803.6263074874878
2023-05-27 16:30:00,1377.0,1091.4626817703247,1849.7989149093628
2023-05-27 16:40:00,1530.0,1071.8498888015747,1835.6817274093628
2023-05-27 16:50:00,1347.0,1097.9338731765747,1878.1979627609253
2023-05-27 17:00:00,1548.0,1080.5368165969849,1832.6306638717651
2023-05-27 17:10:00,1656.0,1114.3754396438599,1861.8791990280151
2023-05-27 17:20:00,1573.0,1161.0773439407349,1977.0312986373901
2023-05-27 17:30:00,1493.0,1205.3762941360474,1970.8966550827026
2023-05-27 17:40:00,1705.0,1217.3187990188599,1960.7383298873901
2023-05-27 17:50:00,1769.0,1260.8474855422974,2018.4957761764526
2023-05-27 18:00:00,1836.0,1292.1063966751099,2035.0437498092651
2023-05-27 18:10:00,2304.0,1322.1488771438599,2098.828906059265
2023-05-27 18:20:00,1850.0,1437.8574953079224,2356.739550590515
2023-05-27 18:30:00,1775.0,1384.8496828079224,2256.973437309265
2023-05-27 18:40:00,1723.0,1351.6928224563599,2197.177050590515
2023-05-27 18:50:00,1618.0,1326.1940431594849,2162.37553691864
2023-05-27 19:00:00,1817.0,1282.9143800735474,2089.81987285614
2023-05-27 19:10:00,1659.0,1299.7875490188599,2128.02836894989
2023-05-27 19:20:00,1747.0,1290.8277101516724,2131.252245903015
2023-05-27 19:30:00,1800.0,1294.4696397781372,2186.608241081238
2023-05-27 19:40:00,1841.0,1313.6825304031372,2248.432459831238
2023-05-27 19:50:00,1754.0,1340.9930772781372,2326.365565299988
2023-05-27 20:00:00,1870.0,1344.6456651687622,2362.751551628113
2023-05-27 20:10:00,1837.0,1384.2742052078247,2454.029139518738
2023-05-27 20:20:00,1795.0,1428.3984727859497,2528.528407096863
2023-05-27 20:30:00,1883.0,1426.4283800125122,2570.913905143738
2023-05-27 20:40:00,1994.0,1460.9402208328247,2634.395594596863
2023-05-27 20:50:00,1971.0,1486.7638292312622,2705.048670768738
2023-05-27 21:00:00,1983.0,1458.0840196609497,2691.139979362488
