label,pc1,pc2,persona,volume
card_121,-2.729051789071105,-0.6613241599217135,Casual,86849051.0
card_100,-0.044213389824545174,2.478604817083778,Commuter,37431665.0
card_53,0.6708375482046178,1.93041226420441,Commuter,10857361.0
card_51,-4.914092346019826,-3.0760153771941723,Tourist/Visitor,9698921.0
card_52,0.8418182531577195,1.8452672927818248,Commuter,8764832.0
card_113,1.8850635064272132,-2.308064877402967,Concession/Student,4277455.0
card_108,0.9221147840391702,1.392363716107979,Commuter,3879682.0
card_55,2.590364864812105,-2.9569861714082197,Concession/Student,3439929.0
card_103,-1.368697062055757,-0.4914901081577578,Casual,3048396.0
card_80,0.9438501539827032,1.7003838784580225,Commuter,2862336.0
card_120,0.02942375920981497,2.005135272029169,Commuter,2343660.0
card_123,-2.451440804637674,-1.133310240203059,Casual,2272571.0
card_85,2.0618599787807796,-2.507810344185223,Concession/Student,1955397.0
card_102,0.47880019299826554,2.504900381205921,Commuter,1854985.0
card_104,2.857513403198688,-3.027791608319739,Concession/Student,1770415.0
card_56,1.766942284996783,-0.2225879762251592,Concession/Student,1747453.0
card_101,-1.9700657611936645,0.11601219481171017,Casual,1375977.0
card_59,2.254458981470489,-1.6208811073207268,Concession/Student,1283239.0
card_118,-5.410977857202368,-1.5949885817728022,Tourist/Visitor,1217271.0
card_54,-1.6111188987694751,-0.5724850521428347,Casual,917511.0
card_119,-0.05397716177667353,3.0327614445003883,Commuter,847844.0
card_83,1.9184535844712611,-1.4732926306308387,Concession/Student,633230.0
card_111,1.66419309983305,-1.4729545515162847,Concession/Student,472105.0
card_122,-0.2485773917634131,4.537769684698147,Commuter,315292.0
OTHER,-0.08348193326816727,1.5763718405201492,Commuter,795349.0
