model,epoch,train_loss,val_loss
CRISP-Net,0,0.2560137473947399,0.1518217671539757
CRISP-Net,1,0.1500048275177295,0.1208986153232527
CRISP-Net,2,0.135890426331169,0.1146997853212959
CRISP-Net,3,0.1309322981552763,0.1101066671966851
CRISP-Net,4,0.1274464302665584,0.1070929270360496
CRISP-Net,5,0.1246367788740566,0.1041620877663512
CRISP-Net,6,0.1234320051558725,0.1045519357936067
CRISP-Net,7,0.121366953424045,0.0996555556225907
CRISP-Net,8,0.1190819315857939,0.0979199448784629
CRISP-Net,9,0.1178637196238224,0.0980289535453686
CRISP-Net,10,0.1167515382170677,0.096787275234749
CRISP-Net,11,0.1162572752643417,0.0956700321819101
CRISP-Net,12,0.1150803161518914,0.0952720481206427
CRISP-Net,13,0.114382752415898,0.0939518313568372
CRISP-Net,14,0.1131640944179597,0.0932353574086676
CRISP-Net,15,0.11371723732778,0.0924698084920317
CRISP-Net,16,0.1126095576109467,0.0931428801063652
CRISP-Net,17,0.1118702455536349,0.0922575455036137
CRISP-Net,18,0.1116827386748659,0.092543543776968
CRISP-Net,19,0.1111819229610673,0.0911116064577312
CRISP-Net,20,0.1104716414769927,0.0933594415066661
CRISP-Net,21,0.1100441533458101,0.0907511956744141
CRISP-Net,22,0.110078036392128,0.090744587705358
CRISP-Net,23,0.1094552053363768,0.0895676485539137
CRISP-Net,24,0.1090448227230009,0.0911405720635429
CRISP-Net,25,0.1089695726613422,0.0898312602478724
CRISP-Net,26,0.1082286400454384,0.0886421633045096
CRISP-Net,27,0.10809723592394,0.0881754731002089
CRISP-Net,28,0.1079607046731225,0.0892443376910555
CRISP-Net,29,0.1076224290735119,0.0904428739059757
CRISP-Net,30,0.1075169238251644,0.0887944205039805
CRISP-Net,31,0.1073763995380192,0.0896816536947921
CRISP-Net,32,0.1069743166094297,0.0889718952987875
CRISP-Net,33,0.1072013861857927,0.0886727967350692
CRISP-Net,34,0.1067661623869623,0.08705363500413
CRISP-Net,35,0.106208708849582,0.0882484437181399
CRISP-Net,36,0.105876321533879,0.0871425621457152
CRISP-Net,37,0.1057462857974754,0.08742098903263
CRISP-Net,38,0.1056550072117166,0.0874518753735573
CRISP-Net,39,0.1054949741769623,0.088252299270787
CRISP-Net,40,0.1050384351349139,0.0864470037375832
CRISP-Net,41,0.1049829425720068,0.086370316344303
CRISP-Net,42,0.1048213512851641,0.0869871512628518
CRISP-Net,43,0.1047050669953063,0.0858966393375789
CRISP-Net,44,0.1049431834574584,0.0856815339936004
CRISP-Net,45,0.1044072731019376,0.0862319948417799
CRISP-Net,46,0.1043521855394918,0.0860412690665695
CRISP-Net,47,0.103847402203214,0.0852550564558951
CRISP-Net,48,0.1037684922198672,0.0850694547151471
CRISP-Net,49,0.1038487022067164,0.0855663152677672
CRISP-Net,50,0.1035616909737115,0.0854392809854759
CRISP-Net,51,0.10371752509049,0.0866025149576611
CRISP-Net,52,0.1033079423092223,0.0860268041327759
CRISP-Net,53,0.1029848875907751,0.0851717535611037
CRISP-Net,54,0.1033905736856408,0.0845224540885333
CRISP-Net,55,0.1031316405960491,0.0857798666744441
CRISP-Net,56,0.1029804910932268,0.0849379693659452
CRISP-Net,57,0.1026400686292857,0.0841323425481607
CRISP-Net,58,0.1025047444707744,0.0845706730999134
CRISP-Net,59,0.1025271485795031,0.0840351520167602
CRISP-Net,60,0.1025742641189596,0.0840781326559218
CRISP-Net,61,0.1022146116573732,0.0840188386021079
CRISP-Net,62,0.1021019796093741,0.0853108635970524
CRISP-Net,63,0.1024620530860764,0.0846216696222404
CRISP-Net,64,0.1021357777845728,0.0841180475039796
CRISP-Net,65,0.1018076916481112,0.0842819464403194
CRISP-Net,66,0.1015953813771625,0.0837808468348377
CRISP-Net,67,0.1017125743758547,0.0836250357493594
CRISP-Net,68,0.1016722101267877,0.0838602177880622
CRISP-Net,69,0.1019042691522902,0.0835564711264201
CRISP-Net,70,0.1013307340525008,0.0833272244985942
CRISP-Net,71,0.1020721031578032,0.083082057494711
CRISP-Net,72,0.1010538835446913,0.0831109059790333
CRISP-Net,73,0.1011522543790576,0.0845648167798152
CRISP-Net,74,0.101288471853995,0.0833416309330489
CRISP-Net,75,0.1008487591376671,0.084739179033172
CRISP-Net,76,0.1013493120834067,0.083075003596125
CRISP-Net,77,0.1007682265488656,0.0831696379233847
